PID  PPID STARTED                           TIME COMM
  662     1 Fri Sep 18 17:41:21 2026       0:01.68 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  663     1 Fri Sep 18 17:41:21 2026       0:09.16 /usr/libexec/wifip2pd
  664     1 Fri Sep 18 17:41:21 2026       5:33.01 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  665     1 Fri Sep 18 17:41:21 2026       0:02.12 /usr/sbin/usernoted
  666     1 Fri Sep 18 17:41:21 2026       0:00.41 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  667     1 Fri Sep 18 17:41:21 2026       0:52.90 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  668     1 Fri Sep 18 17:41:21 2026       0:14.26 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
  669     1 Fri Sep 18 17:41:21 2026       0:01.30 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
  670     1 Fri Sep 18 17:41:21 2026       0:00.67 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
  673     1 Fri Sep 18 17:41:21 2026       0:00.10 /usr/libexec/frauddefensed
  674     1 Fri Sep 18 17:41:21 2026       0:00.01 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
  675     1 Fri Sep 18 17:41:21 2026       0:00.01 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
  676     1 Fri Sep 18 17:41:21 2026       0:00.44 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
  677     1 Fri Sep 18 17:41:21 2026       0:26.77 /usr/libexec/gamepolicyd
  678     1 Fri Sep 18 17:41:21 2026       0:00.23 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
  679     1 Fri Sep 18 17:41:21 2026       0:04.58 /usr/libexec/secinitd
  680     1 Fri Sep 18 17:41:21 2026       0:05.70 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
  681     1 Fri Sep 18 17:41:21 2026       0:00.02 /System/Library/CoreServices/APFSUserAgent
  682     1 Fri Sep 18 17:41:21 2026       0:00.02 /System/Library/Frameworks/ImageIO.framework/Versions/A/XPCServices/ImageIOXPCService.xpc/Contents/MacOS/ImageIOXPCService
  683     1 Fri Sep 18 17:41:21 2026       0:00.55 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
  684     1 Fri Sep 18 17:41:21 2026       0:00.19 /usr/libexec/dmd
  685     1 Fri Sep 18 17:41:21 2026       0:23.47 /System/Library/CoreServices/lockoutagent
  686     1 Fri Sep 18 17:41:21 2026       0:00.83 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
  687     1 Fri Sep 18 17:41:21 2026       0:00.12 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
  689     1 Fri Sep 18 17:41:21 2026       0:17.26 /usr/libexec/routined
